year,month,site,lat,lon,type,W1_ERROR,W2_ERROR,W3_ERROR,W4_ERROR
2014,10,AU-ASM,-22.283,133.249,ENF,1.952377421,3.387638306,0.680502556,0.111686326
2014,11,AU-ASM,-22.283,133.249,ENF,1.33E-14,3.161766036,0.667864658,0.554502285
2014,12,AU-ASM,-22.283,133.249,ENF,1.75E-14,1.254018032,0.60406816,0.041611926
2010,12,AU-Cpr,-34.0021,140.5891,SAV,1.356013876,1.295616114,0.509329557,0.202647711
2010,1,AU-Cpr,-34.0021,140.5891,SAV,0,13.34521055,0.624797026,0.150510419
2010,2,AU-Cpr,-34.0021,140.5891,SAV,0,3.354544178,0.580342898,0.142802476
2010,3,AU-Cpr,-34.0021,140.5891,SAV,0,1.414706341,0.513433457,0.133196405
2010,4,AU-Cpr,-34.0021,140.5891,SAV,0.73629677,0.500774593,0.379310143,0.251679382
2010,5,AU-Cpr,-34.0021,140.5891,SAV,0,0.2794585,0.28367683,0
2010,6,AU-Cpr,-34.0021,140.5891,SAV,1.75E-14,NA,0.16797135,0.026270837
2010,7,AU-Cpr,-34.0021,140.5891,SAV,0.700503144,NA,0.156559972,0.043457084
2010,8,AU-Cpr,-34.0021,140.5891,SAV,0,NA,0.259073918,0.211654505
2010,9,AU-Cpr,-34.0021,140.5891,SAV,1.463222198,NA,0.268339516,0.20548235
2010,10,AU-Cpr,-34.0021,140.5891,SAV,1.463390346,0.544209215,0.392339944,0.243639805
2010,11,AU-Cpr,-34.0021,140.5891,SAV,1.38067678,0.785817155,0.446739255,0.250322895
2011,4,AU-Cpr,-34.0021,140.5891,SAV,1.42E-14,0.444682636,0.360393978,0.027669771
2011,5,AU-Cpr,-34.0021,140.5891,SAV,1.20E-14,NA,0.242552531,0.070417348
2011,3,AU-Cpr,-34.0021,140.5891,SAV,1.34E-14,0.490958061,0.376180354,0.01311118
2011,6,AU-Cpr,-34.0021,140.5891,SAV,0,NA,0.212759582,0
2011,7,AU-Cpr,-34.0021,140.5891,SAV,1.18E-14,NA,0.208155112,0.067514885
2011,8,AU-Cpr,-34.0021,140.5891,SAV,1.061806493,NA,0.268314107,0.038417536
2011,9,AU-Cpr,-34.0021,140.5891,SAV,1.538318136,0.542902648,0.391966343,0.041172479
2011,1,AU-Cpr,-34.0021,140.5891,SAV,1.69E-14,2.101240496,0.549209759,0.154100378
2011,2,AU-Cpr,-34.0021,140.5891,SAV,0,0.869609794,0.460600144,0.037552307
2011,10,AU-Cpr,-34.0021,140.5891,SAV,1.420106123,0.612148318,0.410378307,0.108785957
2011,11,AU-Cpr,-34.0021,140.5891,SAV,1.69E-14,1.097287058,0.490195338,0.10176562
2011,12,AU-Cpr,-34.0021,140.5891,SAV,1.43672025,1.543485395,0.52762841,0.100873963
2012,9,AU-Cpr,-34.0021,140.5891,SAV,1.608954086,0.56407669,0.394748921,0.078624848
2012,10,AU-Cpr,-34.0021,140.5891,SAV,1.695996358,0.993056449,0.477885645,0.157008664
2012,11,AU-Cpr,-34.0021,140.5891,SAV,2.05E-14,2.014098201,0.551843006,0.171802242
2012,12,AU-Cpr,-34.0021,140.5891,SAV,0,2.234557596,0.553955286,0.13151559
2012,2,AU-Cpr,-34.0021,140.5891,SAV,0,1.632249299,0.527448997,0.06385856
2012,6,AU-Cpr,-34.0021,140.5891,SAV,0,NA,0.208377124,0
2012,7,AU-Cpr,-34.0021,140.5891,SAV,1.118958573,NA,0.184413817,0.017896476
2012,1,AU-Cpr,-34.0021,140.5891,SAV,1.326868541,2.246073298,0.554342348,0.094252419
2012,3,AU-Cpr,-34.0021,140.5891,SAV,0,0.734071712,0.433327841,0.043065577
2012,4,AU-Cpr,-34.0021,140.5891,SAV,0,0.55240623,0.394659309,0.043779732
2012,5,AU-Cpr,-34.0021,140.5891,SAV,1.50E-14,0.265667742,0.275696157,0.029309999
2012,8,AU-Cpr,-34.0021,140.5891,SAV,0,NA,0.273184131,0.030273918
2013,12,AU-Cpr,-34.0021,140.5891,SAV,1.49E-14,2.608847497,0.571451886,0.119144694
2013,11,AU-Cpr,-34.0021,140.5891,SAV,0,1.213969433,0.497046902,0.218017998
2013,4,AU-Cpr,-34.0021,140.5891,SAV,1.527680481,0.610724306,0.406691131,0.093177435
