site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
RU-Sam,GRA,72.3738,126.4958,84,0.349550355,0.567869045,0.698346343,0.206484812,0.816956829,0.780144755,0.5016,0.0729,0.0413,0.268860353,0.383025682,NA,NA
RU-Tks,GRA,71.59427,128.88782,36,0.755223914,0.371739888,0.947631092,0.21899237,0.834184941,0.829809334,0.3534,0.0365,-0.0144,0.483915868,0.50603155,-12.55003452,331.7039465
SD-Dem,SAV,13.2829,30.4783,48,0.274344304,0.557620052,0.924527565,0.269783362,0.030118905,0.264705873,0.7162,0.0364,0.3774,0.087385483,0.501057082,27.76298652,232.470947
SN-Dhr,SAV,15.40278,-15.43222,48,0.075302872,0.577432398,0.885563037,0.310037773,0.023486522,0.30658456,0.2366,-0.0041,0.3936,0.072439088,0.461750065,28.03260343,253.0547189
US-AR1,GRA,36.4267,-99.42,47,0.554876532,1.539559642,1.113780099,0.146819945,0.458235175,0.505335301,0.3783,0.0585,0.2609,0.179346952,0.49879363,15.37310906,659.5748725
US-AR2,GRA,36.6358,-99.5975,42,0.60293124,1.808842724,1.265406179,0.148403564,0.477432512,0.511544412,0.4922,0.012,0.1109,0.217014573,0.339897597,15.36238261,631.3702797
US-ARM,CRO,36.6058,-97.4888,105,0.466243426,0.889788026,1.051728809,0.149026948,0.47394954,0.477050576,0.3443,0.033,0.0625,0.212902242,0.308372731,15.84440665,881.4300356
US-Atq,WET,70.4696,-157.4089,34,0.748332942,0.403128831,0.964545242,0.190693647,0.730718552,0.706991717,0.3106,-0.0022,0.0144,0.425442414,0.437626922,-9.29024768,273.8424651
US-Blo,ENF,38.8953,-120.6328,84,0.826037474,0.552929222,0.497473526,0.127614055,0.380083439,0.366737043,0.1253,-0.0018,0.0146,0.402309363,0.415113753,11.59824666,1313.933626
US-GBT,ENF,41.36579,-106.2397,33,0.30448608,0.824954388,0.778488694,0.194942284,0.895079638,0.903271301,0.7605,-0.0887,-0.0868,0.480167015,0.30480167,0.415333105,751.5036193
US-GLE,ENF,41.36653,-106.2399,86,0.805576311,0.365549968,0.873474515,0.187546079,0.727060189,0.739120539,0.1279,0.0162,0.0061,0.424148607,0.446393762,0.415333105,751.5036193
US-Goo,GRA,34.2547,-89.8735,60,0.658620182,0.734739347,0.756061021,0.108912793,0.347522598,0.401930096,0.3112,-7.00E-04,0.0665,0.407375145,0.473141696,17.32923541,1381.521243
US-IB2,GRA,41.84062,-88.24103,87,0.813699575,0.416232668,1.109701658,0.187789928,0.610945125,0.700019189,0.2322,0.0015,0.0677,0.381088825,0.450377703,10.0397759,1011.340201
US-Ivo,WET,68.4865,-155.7503,25,0.867759662,0.561032195,0.944384787,0.160806107,0.781147108,0.761156124,0.1865,0.0371,0.0044,0.477811924,0.519360787,-9.451816443,460.7016181
US-KS2,CSH,28.6086,-80.6715,48,0.603181673,2.115849691,0.273290024,0.092551146,0.083145185,0.148111681,0.3449,0.0321,0.0572,0.374294001,0.463745993,22.79080936,1024.230708
US-Los,WET,46.0827,-89.9792,87,0.744140034,0.85633871,0.890310654,0.200151435,0.57011001,0.671511878,0.3168,0.0043,0.0537,0.355386417,0.413495316,5.08583451,884.8236395
US-Me2,ENF,44.4523,-121.5574,150,0.688215938,0.404182609,0.58563946,0.190169253,0.557847031,0.545100903,0.1546,-6.00E-04,-8.00E-04,0.387272297,0.385852851,7.775743187,892.7348609
US-Me3,ENF,44.3154,-121.6078,72,0.502104787,0.748245233,0.62637762,0.234717325,0.572753504,0.59927827,0.3108,0.0119,0.0025,0.316308764,0.330673244,7.708332134,902.9188087
US-Me6,ENF,44.3232842,-121.6078,60,0.449440471,0.792261004,0.636603818,0.189128738,0.573268019,0.561386717,0.3678,-0.0103,0.0018,0.391015501,0.382473901,7.708332134,902.9188087
US-Myb,WET,38.049861,-121.76498,44,0.519704289,1.127276787,0.906721591,0.106463612,0.171698368,0.241649039,0.5291,0.0055,-0.0275,0.451263538,0.429390529,15.32540941,475.5076806
US-NR1,ENF,40.0329,-105.5464,148,0.880325854,0.588443848,0.902402045,0.116686254,0.723038611,0.753694435,0.0483,0.0911,0.0048,0.443837344,0.539770936,1.462126283,792.1510212
US-Oho,DBF,41.5545,-83.8438,115,0.947588301,0.336497471,1.0368039,0.253695112,0.589427432,0.709645575,0.1243,0.0213,0.0787,0.361881923,0.462030376,10.29677617,956.6250031
US-Prr,ENF,65.12367,-147.48756,40,0.320227962,1.244251099,0.929651362,0.177797886,0.699148744,0.729068554,0.6202,-0.0265,0.0459,0.468141127,0.487361769,-2.568293936,499.5214569
US-SRC,OSH,31.9083,-110.8395,73,0.57421963,2.287442173,0.922600661,0.207233118,0.254631245,0.232613512,0.3351,0.0167,-0.0034,0.090239134,0.103474207,18.32413055,328.360078
US-SRG,GRA,31.789379,-110.827675,80,0.888072277,1.460443541,1.215104953,0.173841868,0.205388487,0.214535804,0.1193,-0.0018,0.0528,0.307369138,0.358351311,16.58179721,344.887207
US-SRM,WSA,31.8214,-110.8661,115,0.782096888,1.744083458,1.120126607,0.235085066,0.172055023,0.184142205,0.1909,-0.0013,0.0064,0.175256458,0.180323817,18.18583829,327.1038778
US-Sta,OSH,41.3966,-106.8024,60,0.364319258,0.780523534,1.013727407,0.228424172,0.837964964,0.821612055,0.6554,0.0238,0.0214,0.15206036,0.197330238,4.266291494,515.3293957
