year,month,site,lat,lon,type,T1_ERROR,T2_ERROR,T3_ERROR,T4_ERROR
2014,9,AU-ASM,-22.283,133.249,ENF,1.744532492,0.175013047,0,0.312934815
2014,10,AU-ASM,-22.283,133.249,ENF,0.965428443,3.060632188,0,1.318197921
2014,11,AU-ASM,-22.283,133.249,ENF,0.74137294,4.343017127,0,2.15090645
2014,12,AU-ASM,-22.283,133.249,ENF,0.939807677,3.177395222,0,1.375666591
2010,12,AU-Cpr,-34.0021,140.5891,SAV,1.139816594,0.041592886,0,0.588506925
2010,1,AU-Cpr,-34.0021,140.5891,SAV,0.665181377,2.175732075,0,0.292891543
2010,2,AU-Cpr,-34.0021,140.5891,SAV,0.654712839,2.246442524,0,0.283614883
2010,3,AU-Cpr,-34.0021,140.5891,SAV,1.090966718,0.109794177,0,0.553474097
2010,4,AU-Cpr,-34.0021,140.5891,SAV,1.540391433,0.820285031,0,0.743633534
2010,5,AU-Cpr,-34.0021,140.5891,SAV,1.7881047,0.956584738,0.549416558,0.887542124
2010,6,AU-Cpr,-34.0021,140.5891,SAV,1.637968437,0.789807929,0.461536002,0.98550092
2010,7,AU-Cpr,-34.0021,140.5891,SAV,1.538178513,0.725182793,0.412054077,1.014627868
2010,8,AU-Cpr,-34.0021,140.5891,SAV,1.672196545,0.824477296,0.448355633,0.970385585
2010,9,AU-Cpr,-34.0021,140.5891,SAV,1.774629858,0.925771533,0.499175727,0.915910049
2010,10,AU-Cpr,-34.0021,140.5891,SAV,1.677170033,0.945086778,0.551784278,0.796116772
2010,11,AU-Cpr,-34.0021,140.5891,SAV,1.425057729,0.674876951,0,0.697591219
2011,4,AU-Cpr,-34.0021,140.5891,SAV,1.430148993,0.956045326,0.555432064,0.803868139
2011,5,AU-Cpr,-34.0021,140.5891,SAV,1.600893643,0.905110965,0.482351959,0.931621092
2011,3,AU-Cpr,-34.0021,140.5891,SAV,1.143813524,0.648262961,0,0.699952543
2011,6,AU-Cpr,-34.0021,140.5891,SAV,1.553296818,0.826095514,0.392305063,0.968642468
2011,7,AU-Cpr,-34.0021,140.5891,SAV,1.507703226,0.779741817,0.375955411,0.99304376
2011,8,AU-Cpr,-34.0021,140.5891,SAV,1.594482586,0.923159877,0.475847784,0.913298802
2011,9,AU-Cpr,-34.0021,140.5891,SAV,1.55139533,0.982720913,0.483465516,0.859167003
2011,1,AU-Cpr,-34.0021,140.5891,SAV,0.616022954,1.330998127,0,0.398943769
2011,2,AU-Cpr,-34.0021,140.5891,SAV,0.755939995,0.515743441,0,0.527711776
2011,10,AU-Cpr,-34.0021,140.5891,SAV,1.335068719,0.890699582,0.5813021,0.768560705
2011,11,AU-Cpr,-34.0021,140.5891,SAV,0.944338155,0.192412001,0,0.62082297
2011,12,AU-Cpr,-34.0021,140.5891,SAV,0.864366543,0.073915373,0,0.572512615
2012,9,AU-Cpr,-34.0021,140.5891,SAV,1.496059941,0.98298243,0.480300127,0.852516041
2012,10,AU-Cpr,-34.0021,140.5891,SAV,1.280685518,0.89453793,0.508679825,0.770165546
2012,11,AU-Cpr,-34.0021,140.5891,SAV,0.837853953,0.00527739,0,0.583408795
2012,12,AU-Cpr,-34.0021,140.5891,SAV,0.717320885,0.491210401,0,0.515274976
2012,2,AU-Cpr,-34.0021,140.5891,SAV,0.737490265,0.410899972,0,0.513197704
2012,6,AU-Cpr,-34.0021,140.5891,SAV,1.445059686,0.755752492,0.350662527,1.001716999
2012,7,AU-Cpr,-34.0021,140.5891,SAV,1.421179732,0.734997552,0.346835576,1.01098442
2012,1,AU-Cpr,-34.0021,140.5891,SAV,0.584644454,1.24740545,0,0.422329204
2012,3,AU-Cpr,-34.0021,140.5891,SAV,1.052715653,0.588492296,0,0.668215449
2012,4,AU-Cpr,-34.0021,140.5891,SAV,1.355505748,0.950477207,0.546928316,0.793908687
2012,5,AU-Cpr,-34.0021,140.5891,SAV,1.550172091,0.901208639,0.428633963,0.926975171
2012,8,AU-Cpr,-34.0021,140.5891,SAV,1.530410278,0.853721013,0.401789806,0.956261304
2013,12,AU-Cpr,-34.0021,140.5891,SAV,0.747451218,0.496100292,0,0.530104757
2013,11,AU-Cpr,-34.0021,140.5891,SAV,1.154974075,0.693468143,0.569126089,0.700354313
2013,4,AU-Cpr,-34.0021,140.5891,SAV,1.338782666,0.907778069,0.573871203,0.768190373
2013,5,AU-Cpr,-34.0021,140.5891,SAV,1.564751461,0.967053208,0.539761455,0.881852361
2013,7,AU-Cpr,-34.0021,140.5891,SAV,1.543159561,0.836842864,0.423577538,0.964502255
2013,10,AU-Cpr,-34.0021,140.5891,SAV,1.344426663,0.916483384,0.528351226,0.765934236
2013,8,AU-Cpr,-34.0021,140.5891,SAV,1.582205719,0.932677305,0.453624146,0.911224476
2013,9,AU-Cpr,-34.0021,140.5891,SAV,1.323876709,0.895582701,0.562734802,0.770608536
2013,6,AU-Cpr,-34.0021,140.5891,SAV,1.521719431,0.801384753,0.423121992,0.983305618
2013,3,AU-Cpr,-34.0021,140.5891,SAV,0.815250763,0.20285582,0,0.552530349
2013,1,AU-Cpr,-34.0021,140.5891,SAV,0.624270455,1.205448231,0,0.433094476
2013,2,AU-Cpr,-34.0021,140.5891,SAV,0.613545924,1.275825423,0,0.405694373
2014,8,AU-Cpr,-34.0021,140.5891,SAV,1.737814939,0.868576291,0.398310174,0.945040107
2014,10,AU-Cpr,-34.0021,140.5891,SAV,1.356726753,0.493127277,0,0.669476723
2014,12,AU-Cpr,-34.0021,140.5891,SAV,1.021183181,0.43754185,0,0.52207171
2014,11,AU-Cpr,-34.0021,140.5891,SAV,1.143645166,0.023942311,0,0.579354691
2014,9,AU-Cpr,-34.0021,140.5891,SAV,1.792368838,0.983504555,0.538549835,0.846387826
2014,5,AU-Cpr,-34.0021,140.5891,SAV,1.747085952,0.970073195,0,0.816644345
2014,6,AU-Cpr,-34.0021,140.5891,SAV,1.758488842,0.888049287,0.499097332,0.938421198
2014,7,AU-Cpr,-34.0021,140.5891,SAV,1.699991528,0.836955952,0.442032083,0.964447903
2007,1,AU-DaP,-14.0633,131.3181,GRA,0.885248499,2.159314458,0,0.034795385
2007,2,AU-DaP,-14.0633,131.3181,GRA,0.695882865,3.267462224,0,0.177305493
2007,3,AU-DaP,-14.0633,131.3181,GRA,1.095413705,1.127642203,0,0.179653958
2007,4,AU-DaP,-14.0633,131.3181,GRA,0.8600799,2.295973361,0,0.014040156
2007,5,AU-DaP,-14.0633,131.3181,GRA,0.904860211,2.055130584,0,0.025777648
2007,6,AU-DaP,-14.0633,131.3181,GRA,1.827623684,0.812233646,0,0.529480319
2007,7,AU-DaP,-14.0633,131.3181,GRA,1.785578118,0.730552164,0,0.510847284
2007,8,AU-DaP,-14.0633,131.3181,GRA,1.396280994,0.094480264,0,0.353486256
2007,9,AU-DaP,-14.0633,131.3181,GRA,0.85915131,2.220913394,0,0.01413442
2007,10,AU-DaP,-14.0633,131.3181,GRA,0.668455993,3.282412509,0,0.174672653
2007,11,AU-DaP,-14.0633,131.3181,GRA,0.699569785,3.244169766,0,0.172959269
